26657,86267,jiao4/xiao4
21451,86160,you3
22260,86131,wei2
20165,85765,jin3
32426,85757,ji4
26063,85679,zu2
35841,85662,shei2/shui2
24778,85638,jing1
24213,85583,de/di3
23401,85433,hai2
38761,85381,ge2
32500,85224,wei2
24052,85162,ba1
20379,85047,gong1/gong4
26007,84989,dou3/dou4
38477,84730,jiang4/xiang2
21367,84712,juan3/juan4
22992,84667,jie3
23553,84607,feng1
26500,84297,gou4
31449,83697,zhan4
39564,83533,yan4
33510,83502,ku3
24046,83453,cha1/cha4/chai1/ci1
21051,83421,ke4
30410,83408,yi4
27966,83385,pai4
32039,83384,jin3
26009,83372,liao4
24322,83126,yi4
20363,83096,li4
31062,82857,zu3
23467,82585,gong1
20081,82496,luan4
32032,82408,su4
24597,82330,pa4
30007,82231,nan2
25928,81781,xiao4
33324,81725,ban1
27573,81535,duan4
31119,81453,fu2
38134,81313,yin2
26202,81200,wan3
23459,81125,xuan1
25143,80592,hu4
28216,80450,you2
39321,80408,xiang1
37319,80276,cai3/cai4
20462,80228,xiu1
23064,80095,niang2
26408,79917,mu4
24577,79801,tai4
22815,79657,gou4
21010,79652,hua2/hua4
32493,79516,xu4
22659,79476,jing4
31859,79379,mi3
20551,78608,jia3/jia4
24494,78598,wei1
35797,78538,shi4
20260,78490,shang1
21018,78482,gang1
29366,78334,zhuang4
20848,78170,lan2
35785,78154,su4
21161,77815,zhu4
24449,77345,zheng1
32988,76839,sheng1/sheng4
31455,76429,jing4
39033,76288,xiang4
32487,76144,ji4
29239,76034,ye2
30097,75996,yi2
21360,75848,yin4
36895,75783,su4
40784,75709,qi2
20302,75599,di1
23460,75414,shi4
36864,75297,tui4
33080,75166,lian3
38480,75014,xian4
28909,74865,re4
30000,74780,tian2
20540,74591,zhi2
24576,74506,huai2
37070,74449,lang2
32435,74399,na4
27663,74259,shi4
26223,74246,jing3
25191,74233,zhi2
22411,74090,xing2
27426,73904,huan1
27611,73739,mao2
20813,73675,mian3
30053,73618,lue4
25209,73360,pi1
29359,73291,fan4
21542,73229,fou3/pi3
28789,73214,ling2
33647,73018,yao4
23556,72958,she4
30417,72924,jian1/jian4
32455,72505,zhi1
38470,72439,liu4/lu4
21477,72333,ju4
23385,72043,sun1
20804,71681,xiong1
32610,71486,ba4/ba
21171,71345,lao2
33719,71036,huo4
26087,70907,jiu4
32593,70813,wang3
39044,70497,yu4
24537,70486,mang2
36149,70320,gui4
38169,70311,cuo4
26641,70176,shu4
36861,70061,zhui1
20020,70033,lin2
20271,69927,bo2
32946,69852,yu4
26222,69784,pu3
35799,69735,shi1
21103,69587,fu4
20805,69580,chong1
27704,69484,yong3
36130,69404,cai2
36866,69141,shi4
22307,69027,sheng4
34880,68966,xie3/xue4
24377,68762,dan4/tan2
25308,68749,bai4
38647,68727,lei2
22919,68598,fu4
21738,68530,na3/na/nei3
28304,68343,yuan2
36930,68172,sui4/sui2
21019,67607,chuang1/chuang4
32993,67548,hu2
20064,67528,xi2
36127,67364,fu4
31574,67228,ce4
36133,67196,bai4
23435,67117,song4
24481,67056,yu4
35752,67045,tao3
23500,67039,fu4
23612,66824,ni2
33539,66677,fan4
29699,66495,qiu2
31179,66493,qiu1
20914,66454,chong1/chong4
24681,66322,en1
21733,66297,ge1
23547,66277,xun2
24694,66236,e3/e4/wu4
20572,66232,ting2
33391,66213,liang2
32929,66067,gu3
38505,66060,xian3
27874,65998,bo1
21050,65901,ci4
36848,65783,shu4
35874,65716,xie4
29615,65689,huan2
33707,65663,mo4
33041,65647,nao3
33609,65178,cao3
24573,65172,hu1
20365,65110,shi4
38745,65007,jing4
25955,64987,san3/san4
21028,64917,pan4
20859,64833,yang3
31215,64786,ji1
36963,64625,qian3
24618,64408,guai4
32819,64379,er3
38215,64257,zhen4
30331,64255,deng1
36935,64079,yu4
24656,64048,kong3
21776,63798,tang2
22530,63769,tang2
35791,63745,zhao4
33879,63573,zhu4/zhe
24184,63498,xing4
25490,63402,pai2/pai3
31616,63277,jian3
23425,63246,ning2
21319,63227,sheng1
26816,62876,jian3
38081,62338,tie3
35282,62313,jiao3/jue2
39038,62292,gu4
26449,62223,cun1
35835,62004,dou4/du2
25381,61803,hui1
30691,61654,yi3
20919,61546,leng3
27169,61461,mo2
20315,61198,fo2/fu2
26472,61155,yang2
26790,60974,meng4
25937,60950,jiu4
38453,60858,zhen4
21704,60827,ha1/ha3
26263,60786,an4
20080,60768,mai3
30563,60572,du1
26970,60537,chu3
37197,59867,pei4
30171,59641,tong4
25480,59528,shou4
32943,59361,ken3
38632,59235,yu3
21344,59217,zhan1/zhan4
27004,59198,lou2
21628,59127,hu1
39034,59099,shun4
38452,58940,yin1
21566,58901,wu2
22863,58898,zou4
22266,58870,gu4
30382,58857,pi2
35686,58789,jing3
30002,58737,jia3
25285,58626,dan1/dan4
22920,58420,ma1
22362,58393,jian1
38454,58359,jie1
24544,58299,zhong1
32972,58200,bei1/bei4
22995,58066,xing4
32034,57907,suo3
31359,57842,chuan1
21556,57624,wu2
20961,57582,fan2
21513,57567,ji2
28608,57494,ji1
23457,57243,shen3
21073,57060,jian4
23618,57030,ceng2
27954,56964,zhou1
33050,56947,jiao3/jue2
20065,56757,xiang1
27801,56743,sha1
25176,56706,tuo1
22857,56557,feng4
27785,56386,chen2
20129,56341,wang2
24247,56300,kang1
23452,56175,yi2
36229,55916,chao1
35851,55854,mou2
28436,55491,yan3
21327,55452,xie2
28246,55298,hu2
22993,55198,gu1
36213,54795,zhao4
20184,54785,fu4
29677,54505,ban1
25307,54351,zhao1
22799,54188,xia4
25484,54136,zhang3
